n,p,total,phase1,phase2,phase3,phase4
32000000,2,1.8101,1.6200,0.0000,0.0389,0.1329
32000000,4,0.9723,0.7896,0.0000,0.0206,0.1398
32000000,8,0.7672,0.4540,0.0001,0.0262,0.2683
32000000,12,0.7776,0.4405,0.0006,0.0440,0.2408
32000000,16,0.8062,0.4041,0.0099,0.0364,0.2075
32000000,32,0.8621,0.3871,0.0134,0.0777,0.2506
32000000,64,1.0735,0.1856,0.0147,0.1306,0.4422
32000000,128,2.2917,0.0367,0.0066,0.2637,1.5321
48000000,2,2.5783,2.3141,0.0000,0.0562,0.1881
48000000,4,1.4982,1.2049,0.0000,0.0304,0.2362
48000000,8,1.2789,0.7177,0.0001,0.0288,0.5033
48000000,12,1.1732,0.6797,0.0002,0.0384,0.3964
48000000,16,1.1703,0.6709,0.0063,0.0385,0.3471
48000000,32,1.3416,0.6917,0.0145,0.0923,0.4128
48000000,64,1.6825,0.4489,0.0243,0.1770,0.7350
48000000,128,4.1628,0.2734,0.0428,0.3135,3.0201
64000000,2,3.5014,3.1615,0.0000,0.0751,0.2387
64000000,4,2.0208,1.6309,0.0000,0.0430,0.3101
64000000,8,1.6469,0.9875,0.0001,0.0400,0.5775
64000000,12,1.6169,0.9706,0.0059,0.0517,0.5260
64000000,16,1.5118,0.9257,0.0034,0.0960,0.4184
64000000,32,1.6909,0.8787,0.0135,0.1013,0.5789
64000000,64,2.1401,0.6419,0.0160,0.1726,0.9725
64000000,128,5.3424,0.5366,0.0039,0.4031,3.8738
96000000,2,5.2721,4.7459,0.0000,0.1154,0.3643
96000000,4,3.0224,2.4618,0.0000,0.0781,0.4272
96000000,8,2.4702,1.5922,0.0001,0.0641,0.7545
96000000,12,2.4683,1.5372,0.0023,0.0752,0.7715
96000000,16,2.3431,1.4578,0.0104,0.0877,0.6842
96000000,32,2.3061,1.2863,0.0023,0.1294,0.7431
96000000,64,3.5310,1.1862,0.0568,0.2440,1.7442
96000000,128,9.4499,1.1505,0.0052,0.6200,7.1020
128000000,2,7.2967,6.5521,0.0000,0.1582,0.5173
128000000,4,4.1501,3.3717,0.0000,0.0816,0.6134
128000000,8,3.4846,2.0742,0.0001,0.0767,1.2491
128000000,12,3.2457,2.0214,0.0001,0.0987,1.0218
128000000,16,3.0299,1.8866,0.0103,0.0996,0.9183
128000000,32,3.6217,2.0073,0.0071,0.1802,1.2495
128000000,64,6.0382,2.0241,0.0210,0.3911,3.1660
128000000,128,11.9660,1.8227,0.0070,0.7693,8.7767
164000000,2,9.5521,8.6018,0.0000,0.1988,0.6319
164000000,4,6.4660,5.0223,0.0001,0.1341,1.1814
164000000,8,4.4503,2.8044,0.0001,0.1134,1.4062
164000000,12,4.2936,2.6699,0.0036,0.1314,1.3358
164000000,16,5.0642,3.1736,0.0038,0.2053,1.4844
164000000,32,5.9515,3.3934,0.0217,0.2888,1.9549
164000000,64,6.5221,2.5387,0.0429,0.4336,3.1989
164000000,128,15.0305,2.3920,0.0086,0.9884,11.0663
